name,website,email,phone,sectors,address,careers_page,description,region
2ii Inc.,https://2iiinc.com/,info@2iiinc.com,613-271-1888,"Manufacturing, Engineering, Industrial & System Design","320 March Rd Suite 600, Kanata, ON K2K 2E3",,"2ii is a packaging company that manufactures paper boards, tins, plastic boxes, aluminum containers, and formed cas...",Ottawa · Kanata North (ON)
3 Brothers Shawarma and Poutine,https://www.3brothersshawarma.com/,,613-271-1123,Dining,"5055 Innovation Dr, Ottawa, ON K2K 1X7",,3 Brothers Shawarma & Poutine is a traditional middle eastern restaurant establishment with a canadian twist. Enjoy...,Ottawa · Kanata North (ON)
6IXTY WINGS,https://6ixtywings.com/,,613-319-6606,Dining,"4048 Carling Ave, Ottawa, ON K2K 1Y1",,6ixty Wings is one of the premier and fastest-growing restaurant franchises in Canada. The name defines it all with...,Ottawa · Kanata North (ON)
A&W Canada - March Road,https://web.aw.ca/,awmarchrd@gmail.com,613-592-1514,Dining,"405 March Rd, Kanata, ON K2K 0K1",,"A&W Restaurants is an American fast food restaurant chain distinguished by its burgers, draft root beer and root be...",Ottawa · Kanata North (ON)
A+ Architecture Inc.,https://www.aplus-arch.com/,info@aplus-arch.com,613-854-5008,"Construction, Renovation, & Other Home Services","1000 Innovation Dr Suite 500, Kanata, ON K2K 3E7",,A+ Architecture Inc. is a fully licensed architectural practice (Ontario Association of Architects) located in the ...,Ottawa · Kanata North (ON)
Ability Massage Therapy & Acupuncture Studio,http://www.abilitystudio.ca/,rose@abilitystudio.ca,613-592-7772,Health & Wellness,"329 March Rd #72, Kanata, ON K2K 2E1",,"In 2007, Bruce opened Ability Registered Massage Therapy in the heart of Kanata North’s business park. The clinic h...",Ottawa · Kanata North (ON)
Access Direct Sales,https://admcanada.com/,mark@admcanada.com,613-599-4467,"Manufacturing, Engineering, Industrial & System Design","300 Terry Fox Dr #800, Kanata, ON K2K 0E3",,"Founded in 1991, Access Direct have been helping manufacturers develop their brand presence in the Canadian Securit...",Ottawa · Kanata North (ON)
Access Self Storage,https://www.accessstorage.ca/en/,reservations@accessstorage.ca,877-217-8673,Other,"415 Legget Dr, Kanata, ON K2K 3R1",,"From our humble beginnings in 1998, to our growth as the largest storage company in Canada, our journey has been ab...",Ottawa · Kanata North (ON)
ActiveCARE Medical Centre,http://www.activecareclinics.ca/,,613-254-9777,Hospital & Healthcare,"1108 Klondike Rd, Kanata, ON K2K 1X7",,"Established in the west end of Ottawa, ActiveCare has been serving the community since 2002 and now covers the grea...",Ottawa · Kanata North (ON)
ActiveCARE Physio Clinic,http://www.acpottawa.ca/,kanata@acpottawa.ca,613-595-0222,Health & Wellness,"1108 Klondike Rd, Kanata, ON K2K 1X7",,"We pride ourselves on providing patient-centered, evidence-based physiotherapy in Ottawa. We strive to make your re...",Ottawa · Kanata North (ON)
Adam Miller Kelly Professional Corporation,http://amk-law.ca/,info@amk-law.ca,613-592-6290,Legal,"300 March Rd #601, Kanata, ON K2K 2E2",,"Adam Miller Kelly Professional Corporation is a multi-service law firm, with a long standing presence in Ottawa’s W...",Ottawa · Kanata North (ON)
Adaptive Marine Solutions Inc.,https://ams-ink.ca/,info@ams-ink.ca,888-368-4838,Ocean Engineering,"308 Legget Dr #201, Kanata, ON K2K 1Y6",,Adaptive Marine Solutions Inc. is built on a simple belief; that any problem can be solved and any project made suc...,Ottawa · Kanata North (ON)
Adecco Ottawa,https://www.adecco.ca/,can.marketing@adecco.ca,613-599-3151,Information Technology & Services,"329 March Rd Suite 228, Kanata, ON K2K 2E1",,"Long story short, we've got more than 50 years' experience in the staffing game. In that time, we've merged, acquir...",Ottawa · Kanata North (ON)
Adtran Networks Canada Inc.,https://www.adtran.com/en,,1-256-963-8716,"Telecommunications, Wireless & Photonics","4043 Carling Ave, Suite 203, Kanata, ON, K2K 2A4",,"Adtran Networks Canada Inc. is a subsidiary of Adtran Holdings Inc., a provider of networking and communications eq...",Ottawa · Kanata North (ON)
Advanced Office Equipment,https://topoffice.ca/,service@topoffice.ca,613-498-2001,Retail & Hospitality,"1000 Innovation Dr suite 500, Kanata, Ottawa, ON K2K 3E7, Canada",,,Ottawa · Kanata North (ON)
Ahearn and Soper | proVision WMS Eastern Ontario,https://www.ahearn.com/,salesdept@ahearn.com,613-599-4520,Information Technology & Services,"1240 Teron Rd #2, Ottawa, ON K2K 2B5",,Provider of warehouse automation system intended to provide industrial barcode equipment integration services. The ...,Ottawa · Kanata North (ON)
