employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Powertech Labs,software developer,Surrey,BC,"$119,000.00 annually","June 18, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750658,49750658
Acuity Insights,software developer,Vancouver,BC,"$120,000.00 to $155,000.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750712,49750712
Innowave Software Solutions and Consulting Inc.,senior software developer,Langley,BC,$52.50 hourly,"June 15, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49722257,49722257
Optix,software developer,Vancouver,BC,"$90,000.00 to $130,000.00 annually","June 10, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719352,49719352
Aequilibrium Software Inc.,software developer,Vancouver,BC,"$90,000.00 annually","June 10, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49741589,49741589
Powertech Labs,software developer,Surrey,BC,"$89,910.00 annually","June 10, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719400,49719400
Seapeak,software developer,Vancouver,BC,"$75,000.00 annually","June 10, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49741804,49741804
Binary Stream Software Inc.,software developer,Burnaby,BC,$52.40 hourly,"June 09, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49681586,49681586
T&T Supermarket Inc,software developer,Richmond,BC,"$97,369.30 annually","June 04, 2026",ZipRecruiter,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49654993,49654993
"Total Life, Inc.",software developer,Vancouver,BC,"$60,000.00 to $100,000.00 annually","May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49718120,49718120
"ResponsiveAds, Inc.",software developer,Vancouver,BC,"$75,000.00 annually","May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49742223,49742223
Atimi,software developer,Vancouver,BC,"$120,000.00 to $180,000.00 annually","May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49742335,49742335
Arya Health,software development programmer,Vancouver,BC,$52.40 hourly,"April 28, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49414475,49414475
KTC SUNDUNE SOLUTIONS,application programmer,Surrey,BC,$63.00 hourly,"March 11, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49087440,49087440
PACIFIC QUORUM PROPERTIES INC.,cloud administrator,Kamloops,BC,"$39,000.00 to $44,000.00 annually","June 19, 2026",indeed.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49755815?source=searchresults,49755815
"Remarcable, Inc.",development and operations (DevOps) engineer,Vancouver,BC,"$181,689.30 annually","June 12, 2026",ZipRecruiter,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49708260?source=searchresults,49708260
"Remarcable, Inc.",software engineer,Vancouver,BC,"$125,784.90 annually","June 12, 2026",ZipRecruiter,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49708262?source=searchresults,49708262
Omnissa,computer software engineer,Vancouver,BC,"$170,000.00 to $323,050.00 annually (to be negotiated)","June 02, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49637009?source=searchresults,49637009
Omnissa,computer software engineer,"Vancouver, BC",,"$152,200.00 to $253,650.00 annually (to be negotiated)","June 02, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49636652?source=searchresults,49636652
