employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
ONIT Energy/ Canadian Water Savings,software developer,Toronto,ON,"$162,891.75 annually","June 20, 2026",ZipRecruiter,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49759020,49759020
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 19, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750436,49750436
Liburdi,software developer,Hamilton,ON,"$65,000.00 to $85,000.00 annually","June 19, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750598,49750598
Astra North Infoteck Inc.,software developer,Mississauga,ON,"$10,000.00 monthly","June 19, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750661,49750661
PradhyaTech Inc.,software developer,Kitchener,ON,$48.35 to $50.00 hourly (to be negotiated),"June 18, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49747109,49747109
Recutify Inc.,software developer,Mississauga,ON,"$120,000.00 annually","June 18, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750584,49750584
Source Code,software developer,Toronto,ON,$90.18 hourly,"June 18, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750632,49750632
Source Code,software developer,Toronto,ON,$88.52 hourly,"June 18, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750636,49750636
Source Code,software developer,Toronto,ON,$86.90 hourly,"June 18, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750660,49750660
Decision Tree Technology,software developer,Havelock,ON,$47.57 hourly,"June 17, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49738239,49738239
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 17, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734179,49734179
Modern Air Filters Corporation,software developer,Brampton,ON,$20.00 to $32.00 hourly,"June 17, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49745422,49745422
Align Technology,software developer,Toronto,ON,"$144,300.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734180,49734180
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734329,49734329
Align Technology,software developer,Toronto,ON,"$92,900.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734330,49734330
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734340,49734340
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734411,49734411
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734442,49734442
Source Code,software developer,Toronto,ON,$74.34 hourly,"June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734459,49734459
NearSource,software developer,Toronto,ON,$80.00 hourly,"June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734489,49734489
Upstaff,software developer,Toronto,ON,$70.00 hourly,"June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734549,49734549
Acuity Insights,software developer,Toronto,ON,"$120,000.00 to $155,000.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49744977,49744977
Align Technology,software developer,Toronto,ON,"$92,900.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49750683,49750683
KingswaySoft Inc.,software developer,Oakville,ON,"$105,000.00 to $115,000.00 annually (to be negotiated)","June 15, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49724857,49724857
Scalable Systems,cloud developer,Toronto,ON,$50.00 to $55.00 hourly,"June 15, 2026",indeed.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49724623,49724623
Great Lakes Group,software developer,Cambridge,ON,$60.08 hourly,"June 15, 2026",ZipRecruiter,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49727263?source=searchresults,49727263
Nelson Education LTD,software developer,Toronto,ON,"$110,000.00 annually","June 15, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734443?source=searchresults,49734443
Source Code,software developer,Toronto,ON,$86.90 hourly,"June 14, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719103?source=searchresults,49719103
Source Code,software developer,Toronto,ON,$90.18 hourly,"June 14, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719405?source=searchresults,49719405
Recutify Inc.,software developer,Toronto,ON,"$120,000.00 annually","June 14, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719324?source=searchresults,49719324
Security Guard Group Limited,software developer,Toronto,ON,$19.00 hourly,"June 13, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719149?source=searchresults,49719149
Astra North Infoteck Inc.,software developer,Toronto,ON,"$10,000.00 monthly","June 13, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719268?source=searchresults,49719268
Tech Lab Marketers,User interface (UI) designer,Toronto,ON,$49.00 hourly,"June 12, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49705246?source=searchresults,49705246
Lancesoft,software developer,Windsor,ON,$42.00 to $46.00 hourly,"June 12, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719038?source=searchresults,49719038
Avant Techno Solutions,software developer,Toronto,ON,$48.37 hourly,"June 11, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49698207?source=searchresults,49698207
Source Code,software developer,Toronto,ON,$73.86 hourly,"June 11, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49694687?source=searchresults,49694687
