externalId	origin	city	title	noc	nocTitle	status	note	body	candidates
https://jobs.lever.co/magnetforensics/465fb92b-a66f-4de8-9cd9-9f0f91da698e	ats	Ottawa	Product Management Lead			fail	abstain	Who We Are; What We Do; Where We’re Going Magnet Forensics is a global leader in the development of digital investigative software that acquires, analyzes, and shares evidence from computers, smartphones, tablets, and IoT-related devices. We are continually innovating so our customers can deploy advanced and effective tools to protect their companies, communities, and countries. Serving thousands of customers globally, our solutions are playing a crucial role in modernizing digital investigation	92013 21322 41310 21211 92021 22302 21222 21234 94104 21231 12112 22312 21310 21232 20012 51112 32120 94201 21321 43204
https://bb.wd3.myworkdayjobs.com/BlackBerry/job/Ottawa-Ontario/QNX-Senior-Security-Researcher_20260231-1	ats	Ottawa	QNX Senior Security Researcher	21220	Cybersecurity specialists	ok		Worker Sub-Type: Regular Job Description: QNX enhances the human experience and amplifies technology-driven industries, providing a trusted foundation for software-defined businesses to thrive. The business leads the way in delivering safe and secure operating systems, hypervisors, middleware, solutions, and development tools, along with support and services delivered by trusted embedded software experts. With a focus on reducing hardware dependency and increasing efficiency, QNX empowers organi	21231 21220 21222 21211 22222 21221 21234 21230 00015 82020 51112 22221 21311 92021 00012 64410 21232 12104 22213 42102
https://ranovus.bamboohr.com/careers/72	ats	Ottawa	Senior Application Engineer / Senior Field Application Engineer	21399	Other professional engineers	ok		Job Title: Senior Application Engineer / Senior Field Application Engineer Location: Ottawa, ON Reports To: Senior Manager, Product Management About Us: Ranovus is a semiconductor company with global operations helping power the data behind next generation AI and data center networks. We design and build advanced hardware that moves massive amounts of information quickly and efficiently between computer systems in data centers around the world. Our technology improves performance while reducing 	21231 00015 22222 72405 21201 21230 21232 00011 00012 21399 43204 22214 92100 00014 21310 92021 72429 22213 72301 21390
https://solace.bamboohr.com/careers/783	ats	Ottawa	Product Operations Lead (8-10 month Contract)			fail	abstain	Enterprise AI is moving from pilots to production, and the constraint is no longer the model — it's the data. Agents are only as good as what they can sense, trust, and act on in the moment, and real-time, event-driven data is becoming the foundation every serious AI system runs on. Solace is the leading real-time data platform for the enterprise AI era. Established enterprises worldwide — including RBC Capital Markets, Bosch, Heineken, PSA Singapore, United Airlines, Schwarz Group, and hundreds	14402 13201 12102 00015 20012 43204 60010 21221 21231 10012 70012 12013 00012 21211 64311 94140 14403 41402 90010 21222
https://ranovus.bamboohr.com/careers/76	ats	Ottawa	System Architect Verification Engineer	21310	Electrical and electronics engineers	ok		stem Architect Verification Engineer Ottawa, ON, Canada | Full-Time | Ranovus ABOUT RANOVUS Ranovus is a fabless semiconductor company headquartered in Ottawa, Canada, developing next-generation co-packaged optics (CPO) solutions for AI and data center interconnects. Our Odin optical engine integrates a Quantum Dot Multi-Wavelength Laser, Photonic Integrated Circuit (PIC), and ASIC into a single co-packaged module – delivering the performance and density required by hyperscale AI infrastructure.	21231 22222 42102 43204 22210 92021 21311 21222 21220 72202 21230 22212 22231 21310 94201 22214 92023 22302 22300 72301
careerbeacon:2237409	careerbeacon	Lantz	Ice Technicians - Hiring for the Winter season at the East Hants Sportsplex	75119	Other trades helpers and labourers	ok		Are you open to learning how to operate a Zamboni and maintain ice surfaces? Do you like being part of a busy events-focused community facility? Do you have some availability to work flexible hours in the fall and winter months, including evenings and weekends? If this sounds like you, apply to work as an Ice Technician this fall/winter season at the East Hants Sportsplex! Previous experience working in an arena environment, operating a Zamboni, or working with an ice plant is an asset, but not 	53200 22312 22214 72402 73200 72302 72105 75119 22301 42102 72420 72423 72201 72422 72301 72020 95100 22311 32129 32104
careerbeacon:2238040	careerbeacon	Halifax	Shift Engineer	92100	Power engineers and power systems operators	ok		THE ORGANIZATION: At Events East Group, we proudly manage and operate the Halifax Convention Centre, Scotiabank Centre and Scotiabank Centre Box Office. Our people and our community make us the favoured event destination for our guests. Whether we're attracting large delegations or hosting an elite group of athletes for an international competition, we are a catalyst for new opportunities and connections between Nova Scotia and the world. THE POSITION: Events East Group is now inviting applicati	22301 72402 92100 72422 21301 21310 72603 72420 43204 12103 21321 20012 72020 22310 72405 21300 72406 75119 62021 42102
careerbeacon:2235133	careerbeacon	Charlottetown	Office Furniture Technician	73200	Residential and commercial installers and servicers	ok		Atlantic Business Interiors (ABI) , the authorized Steelcase dealer for Atlantic Canada, is a leading supplier for office furniture and technology. ABI is passionate about helping our clients create flexible and innovative workplace environments that support the many ways organizations do business. We offer in-house service teams to provide a full range of facility management services to help transform business environments into more effective workplaces. We are growing and expanding our Install	94210 92022 63221 62100 22112 72405 72104 22311 72013 73200 94219 32109 64101 52121 75119 22210 12200 14401 65210 72411
careerbeacon:2239832	careerbeacon	Amherst	Seasonal Sales Consultant, Amherst Centre Mall	64100	Retail salespersons and visual merchandisers	ok		Req Id: 432662 Connection is everything. It drives us to innovate, explore, and stay close to what matters to us most. At Bell, we're building a more connected future through world-class networks, AI-powered solutions, and digital experiences that elevate how people live, work, and play every day. We believe in empowering people. That's why we equip our teams with cutting-edge technology, AI tools, and a collaborative environment that supports creativity and growth. Want to be part of a diverse 	62100 64100 64409 64101 62023 64310 62101 63101 65109 21221 60010 14102 22221 62010 41320 11103 64201 62022 41301 60020
careerbeacon:2237306	careerbeacon		Resident Relations Coordinator	13101	Property administrators	ok		Type of Employment: Contract with potential for extension and/or expansion (end date: March 31, 2027), Part-time (50%) ***Please note: If you are interested in both the Resident Relations Coordinator and the Property Manager roles, with the qualifications for both, please indicate on your application your interest in both. Work Location: Mainland Nova Scotia (Applications from candidates living within the Halifax Regional Municipality and Amherst are warmly welcomed.) (Hybrid work environment) A	13101 70011 70012 12101 10011 60031 11200 63101 40030 31300 62022 70021 10020 40019 21202 14101 41407 42201 12012 82021
