name,careers_url,ats,website,email,sectors,status,note
Adtran Networks Canada Inc.,https://www.adtran.com/en/about-us/careers,myworkdayjobs,https://www.adtran.com/en,,"Telecommunications, Wireless & Photonics",200,
AttoTude Canada,https://www.attotude.com/join-us,greenhouse,https://www.attotude.com/,info@attotude.com,Artificial Intelligence,200,
BlackBerry,https://www.blackberry.com/en/careers,myworkdayjobs,https://www.blackberry.com/,,Information Technology & Services,200,
Blackberry QNX,https://www.blackberry.com/en/careers,myworkdayjobs,https://www.blackberry.com/us/en,,Information Technology & Services,200,
BlueWave-ai,https://www.bluwave-ai.com/careers,applytojob,https://www.bluwave-ai.com/,info@bluwave-ai.com,"Clean Tech, Environmental Technology & Services",200,
Case IQ,https://www.caseiq.com/careers,bamboohr,https://www.caseiq.com,hr@caseiq.com,Management Consulting,200,
Cerio,https://www.cerio.io/careers/,bamboohr,https://www.cerio.io/,info@cerio.io,"Telecommunications, Wireless & Photonics",200,
Cisco Systems Inc,https://careers.cisco.com/global/en/home,workday,https://www.cisco.com/,,"Computer Networking, Hardware",200,
CMC Microsystems,https://www.cmc.ca/careers/,recruitee,https://www.cmc.ca/,info@cmc.ca,Semiconductors,200,
DistillerSR,https://www.distillersr.com/careers,workable,https://www.distillersr.com/,news@distillersr.com,Artificial Intelligence,200,
Edgewater Computer Systems Inc.,https://edgewater.ca/careers.html,workday,https://edgewater.ca/,support@edgewater.ca,"Telecommunications, Wireless & Photonics",200,
Evik Diagnostics Innovations Inc.,https://www.evikdiagnostics.com/careers,bamboohr,https://www.evikdiagnostics.com/,info@evikdiagnostics.com,Biotechnology,200,
Fidus Systems Inc,https://fidus.com/careers/,workable,https://fidus.com/,,"Manufacturing, Engineering, Industrial & System Design",200,
Fullscript,https://fullscript.com/careers,lever,https://fullscript.com/,support@fullscript.com,Software,200,
Incognito Software Systems,https://www.incognito.com/careers/?hsLang=en,myworkdayjobs,https://www.incognito.com/,info@incognito.com,Telecommunications,200,
InitLive Inc.,https://www.initlive.com/company/careers,greenhouse,https://www.initlive.com/,support@bloomerang.com,Computer Software,200,
Intouch Insight,https://www.intouchinsight.com/who-we-are/careers/,bamboohr,https://www.intouchinsight.com/,letschat@intouchinsight.com,Software,200,
Iqvia Inc.,https://jobs.iqvia.com/?utm_source=iqvia.com&utm_medium=referral&utm_campaign=careersnav ,myworkdayjobs,https://www.iqvia.com/,,"Health & Wellness, Hospital & Healthcare",200,
Jabil Canada Corporation,https://careers.jabil.com/,myworkdayjobs,https://www.jabil.com/,,"Manufacturing, Engineering, Industrial & System Design",200,
Juniper Networks Canada Inc.,https://careers.hpe.com/juniper,myworkdayjobs,https://www.juniper.net/,,Telecommunications,200,
Magnet Forensics Inc.,https://www.magnetforensics.com/careers-at-magnet/,lever,https://www.magnetforensics.com/,sales@magnetforensics.com,"Computer Hardware, Computer Software",200,
March Networks,https://www.marchnetworks.com/careers/,workable,https://www.marchnetworks.com/,info@marchnetworks.com,Cyber Security,200,
Martello Technologies Corporation,https://martellotech.com/careers/,bamboohr,https://martellotech.com/,info@martellotech.com,Information Technology & Services,200,
Mavenir,https://www.mavenir.com/about/careers/,myworkdayjobs,https://www.mavenir.com/,contactus@mavenir.com,"Artificial Intelligence, Telecommunications, Wireless & Photonics",200,
N-able,https://careers.n-able.com/,icims,https://www.n-able.com/,,Software,200,
NewRocket (Iceberg Networks Corporation),https://www.newrocket.com/careers,greenhouse,https://www.newrocket.com/,,Computer Software,200,
