employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Tokyo Express,software developer,Edmonton,AB,$41.00 hourly,"June 17, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49737372,49737372
Acuity Insights,software developer,Calgary,AB,"$120,000.00 to $155,000.00 annually","June 16, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49745198,49745198
Nöord Technologies Corporation,software developer,Calgary,AB,"$95,000.00 annually","June 12, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719269,49719269
Nöord Technologies Corporation,software developer,Calgary,AB,"$95,000.00 annually","June 12, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49719428,49719428
PeopleToGo,software developer,Edmonton,AB,$60.00 hourly,"May 27, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49718345,49718345
Sapsol Technologies Inc,software developer,Calgary,AB,$75.00 to $85.00 annually,"May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49726889,49726889
Ndax Canada Inc.,software developer,Calgary,AB,"$60,000.00 to $150,000.00 annually","May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49741661,49741661
AbaData Inc.,mobile applications developer,Calgary,AB,$48.00 to $50.00 hourly (to be negotiated),"April 21, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49374383,49374383
Princeton IT Services Inc,software development programmer,Calgary,AB,$48.08 hourly,"April 17, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49353358,49353358
Big Project Investments Ltd,software developer,Calgary,AB,$48.08 to $49.00 hourly (to be negotiated),"April 16, 2026",Job Bank,True,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49344477,49344477
Enerva,software engineer,Calgary,AB,"$57,224.96 to $70,526.98 annually","June 18, 2026",indeed.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49745777?source=searchresults,49745777
The Realty Store Property Management o/a Realty Executives Alberta Elite,cloud administrator,Red Deer,AB,$20.00 to $26.00 hourly,"June 17, 2026",indeed.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49739612?source=searchresults,49739612
ClearGov,software engineer,Calgary,AB,"$90,000.00 annually","June 10, 2026",Talent.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49742047?source=searchresults,49742047
Kindr.ca,software engineer,Calgary,AB,"$85,000.00 to $120,000.00 annually","June 09, 2026",indeed.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49705466?source=searchresults,49705466
BigGeo,software architect,Calgary,AB,$35.00 to $91.35 hourly,"June 03, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49740898?source=searchresults,49740898
BigGeo,software engineer,Calgary,AB,$35.00 to $91.35 hourly,"June 03, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49740905?source=searchresults,49740905
BigGeo,cloud architect,Calgary,AB,$35.00 to $91.35 hourly,"June 03, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49740922?source=searchresults,49740922
BigGeo,software engineer,Calgary,AB,$35.00 to $91.35 hourly,"June 03, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49740953?source=searchresults,49740953
BigGeo,cloud architect,Calgary,AB,$35.00 to $91.35 hourly,"June 03, 2026",CareerBeacon,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49740975?source=searchresults,49740975
Trustedsavvy,software engineer,Leduc,AB,"$78,374.00 annually","June 01, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49629828?source=searchresults,49629828
Forsite Consultants Ltd.,software design engineer,Calgary,AB,"$117,000.00 to $131,000.00 annually (to be negotiated)","June 01, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49629312?source=searchresults,49629312
BigGeo,full stack developer,Calgary,AB,$21.48 to $57.16 hourly,"June 03, 2026",CareerBeacon,False,full stack developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49740842?source=searchresults,49740842
CODESK,front-end Web developer,Edmonton,AB,$40.35 hourly,"June 02, 2026",Job Bank,True,frontend developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49636241?source=searchresults,49636241
Bio Mart Inc.,Web developer,Edmonton,AB,$40.35 hourly,"June 15, 2026",Job Bank,True,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49722728?source=searchresults,49722728
Muddy Boots Inc.,Web developer,Calgary,AB,"$60,000.00 to $80,000.00 annually","June 11, 2026",indeed.com,False,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49699192?source=searchresults,49699192
Rocky Mountain Soap Company,electronic commerce (e-commerce) Web site developer,Canmore,AB,"$130,000.00 annually","June 05, 2026",Talent.com,False,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49742219?source=searchresults,49742219
G Square Builders Ltd.,Web developer,Rocky View,AB,$41.00 hourly,"May 26, 2026",Job Bank,True,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49588006?source=searchresults,49588006
Har-Par Investments Ltd,Web developer,Edmonton,AB,$40.70 hourly,"March 22, 2026",Job Bank,True,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49154027?source=searchresults,49154027
Alberta Machine Intelligence Institute,data scientist,Edmonton,AB,$30.00 to $69.74 hourly,"June 19, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49750080?source=searchresults,49750080
Muslim Kids TV,data engineer,Edmonton,AB,$40.00 to $57.00 hourly (to be negotiated),"June 11, 2026",Job Bank,True,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49697820?source=searchresults,49697820
Alberta Machine Intelligence Institute,data scientist,Edmonton,AB,$30.00 to $69.74 hourly,"June 10, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49686675?source=searchresults,49686675
Alberta Machine Intelligence Institute,artificial intelligence (AI) consultant,Edmonton,AB,$30.00 to $69.74 hourly,"June 10, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49686741?source=searchresults,49686741
Alberta Machine Intelligence Institute,artificial intelligence (AI) consultant,Edmonton,AB,$30.00 to $69.74 hourly,"June 03, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49740938?source=searchresults,49740938
BigGeo,artificial intelligence (AI) consultant,Calgary,AB,$30.00 to $69.74 hourly,"June 03, 2026",CareerBeacon,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49740972?source=searchresults,49740972
Monardos Services Inc,business data analyst This job posting is posted by a recruitment agency on behalf of the employer.,Edmonton,AB,$46.00 to $48.00 hourly (to be negotiated),"June 11, 2026",Job Bank,True,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49696312?source=searchresults,49696312
Monardos Services Inc,data steward This job posting is posted by a recruitment agency on behalf of the employer.,Edmonton,AB,$36.00 to $39.00 hourly (to be negotiated),"June 11, 2026",Job Bank,True,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49696298?source=searchresults,49696298
Prime Floor Distribution Inc,business data analyst,Edmonton,AB,$48.10 hourly,"May 23, 2026",indeed.com,False,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49568504?source=searchresults,49568504
Prime Floor Distribution Inc,business data analyst,Edmonton,AB,$48.10 hourly,"May 20, 2026",Job Bank,True,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49553114?source=searchresults,49553114
