employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Mariner,artificial intelligence (ai) programmer,Fredericton,NB,$30.00 to $76.92 hourly,"June 17, 2026",CareerBeacon,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49734219,49734219
Astra North Infoteck Inc.,software developer,Florenceville-Bristol,NB,"$10,000.00 monthly","June 08, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49726850,49726850
Admiral Investigations Atlantic Inc.,software developer,Dieppe,NB,$46.00 hourly,"June 01, 2026",indeed.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49629066,49629066
Avenir Centre,cloud administrator,Moncton,NB,"$45,000.00 to $55,000.00 annually","May 28, 2026",indeed.com,False,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49605709?source=searchresults,49605709
Karmakarah Technologies Inc,cloud infrastructure engineer,Moncton,NB,$45.00 to $50.00 hourly (to be negotiated),"March 16, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49118288?source=searchresults,49118288
Karmakarah Technologies Inc,cloud administrator,Moncton,NB,$22.00 to $25.00 hourly (to be negotiated),"March 16, 2026",Job Bank,True,software engineer (NOC 21231),https://www.jobbank.gc.ca/jobsearch/jobposting/49118245?source=searchresults,49118245
ONIKON Creative Lab,data scientist,Shediac,NB,$42.00 to $45.00 hourly (to be negotiated),"April 03, 2026",Job Bank,True,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49217974?source=searchresults,49217974
NB Power,"analyst, information technology (IT)",Fredericton,NB,$28.85 to $68.68 hourly,"June 19, 2026",CareerBeacon,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49753736?source=searchresults,49753736
Vitalité Health Network,"analyst, systems",Moncton,NB,"$67,600.00 to $94,406.00 annually","June 11, 2026",CareerBeacon,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49699897?source=searchresults,49699897
Vitalité Health Network,"analyst, systems",Various locations,,"$67,600.00 to $94,406.00 annually","June 04, 2026",CareerBeacon,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49649612?source=searchresults,49649612
Rentokil Initial,information technology (IT) analyst,Saint John,NB,"$42,000.00 to $46,000.00 annually","June 04, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741236?source=searchresults,49741236
Karmakarah Technologies Inc,information technology (IT) project manager,Moncton,NB,$60.00 to $67.00 hourly (to be negotiated),"March 16, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49118640?source=searchresults,49118640
Karmakarah Technologies Inc,systems QA (quality assurance) analyst,Moncton,NB,$35.00 to $40.00 hourly (to be negotiated),"March 16, 2026",Job Bank,True,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49118867?source=searchresults,49118867
City of Saint John,IT (information technology) business analyst,Saint John,NB,"$83,074.00 to $91,646.00 annually","June 18, 2026",CareerBeacon,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49744812?source=searchresults,49744812
