employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Champ Health Care Services,registered nurse - telehealth,Orléans,ON,$35.00 hourly,"June 18, 2026",Job Bank,True,registered nurse (NOC 31301),https://www.jobbank.gc.ca/jobsearch/jobposting/49747094,49747094
Source Code,nurse,Ottawa,ON,$70.00 hourly,"June 07, 2026",Talent.com,False,registered nurse (NOC 31301),https://www.jobbank.gc.ca/jobsearch/jobposting/49718601?source=searchresults,49718601
5501 Abbot Street East,nurse,Stittsville,ON,$27.67 hourly,"June 03, 2026",Talent.com,False,registered nurse (NOC 31301),https://www.jobbank.gc.ca/jobsearch/jobposting/49741613?source=searchresults,49741613
Job Bridge Global,nurse,Ottawa,ON,$37.00 to $42.00 annually,"May 23, 2026",Talent.com,False,registered nurse (NOC 31301),https://www.jobbank.gc.ca/jobsearch/jobposting/49719232?source=searchresults,49719232
ParaMed Home Health Care,RN (registered nurse),Ottawa,ON,$36.04 hourly,"May 06, 2026",Job Bank,True,registered nurse (NOC 31301),https://www.jobbank.gc.ca/jobsearch/jobposting/49466374?source=searchresults,49466374
Francis Arthur,personal support worker - home support,Orléans,ON,$23.00 hourly,"June 15, 2026",Job Bank,True,personal support worker (NOC 44101),https://www.jobbank.gc.ca/jobsearch/jobposting/49724477?source=searchresults,49724477
CAREMAX HEALTH,personal support worker - home support,Gloucester,ON,$36.10 hourly,"June 15, 2026",Job Bank,True,personal support worker (NOC 44101),https://www.jobbank.gc.ca/jobsearch/jobposting/49723250?source=searchresults,49723250
LES SOINS HEALTH INC.,personal support worker - home support,Gloucester,ON,$36.10 hourly,"June 15, 2026",Job Bank,True,personal support worker (NOC 44101),https://www.jobbank.gc.ca/jobsearch/jobposting/49723246?source=searchresults,49723246
Michelle Nassrallah,personal support worker - home support,Ottawa,ON,$22.50 hourly,"June 09, 2026",Job Bank,True,personal support worker (NOC 44101),https://www.jobbank.gc.ca/jobsearch/jobposting/49685111?source=searchresults,49685111
Spring Living,personal support worker – nursing care,Gloucester,ON,$21.26 hourly,"June 02, 2026",Job Bank,True,personal support worker (NOC 44101),https://www.jobbank.gc.ca/jobsearch/jobposting/49637880?source=searchresults,49637880
