employer,title,city,province,salary,date,source,direct,search_occupation,url,posting_id
Push Software Interactions,software developer,Saskatoon,SK,"$70,000.00 annually","June 12, 2026",indeed.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49707348,49707348
Sapsol Technologies Inc,software developer,Regina,SK,$70.00 to $85.00 annually,"May 23, 2026",Talent.com,False,software developer (NOC 21232),https://www.jobbank.gc.ca/jobsearch/jobposting/49742459,49742459
VicSquare Arcade,electronic business (e-business) Web site developer,Regina,SK,$39.36 hourly,"May 25, 2026",Job Bank,True,web developer (NOC 21234),https://www.jobbank.gc.ca/jobsearch/jobposting/49583288?source=searchresults,49583288
MuniSoft Software Products,programmer analyst,Regina,SK,"$80,000 - $90,000/year based on applicable experience","June 17, 2026",SaskJobs,False,programmer (NOC 21230),https://www.jobbank.gc.ca/jobsearch/jobposting/49736772?source=searchresults,49736772
Weyburn Credit Union Limited,data analytics specialist,Weyburn,SK,"Range is $60,279 to $82,883 based on qualifications and experience","June 01, 2026",SaskJobs,False,data scientist (NOC 21211),https://www.jobbank.gc.ca/jobsearch/jobposting/49629929?source=searchresults,49629929
Acme Digital Marketing Consulting,data analyst - informatics and systems,Saskatoon,SK,$30.00 to $41.00 hourly (to be negotiated),"June 03, 2026",Job Bank,True,data analyst (NOC 21223),https://www.jobbank.gc.ca/jobsearch/jobposting/49645685?source=searchresults,49645685
FYidoctors,information technology (IT) analyst,Regina,SK,$30.00 hourly,"June 10, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49742178?source=searchresults,49742178
We An-Ser,information technology (IT) analyst,Regina,SK,$17.00 hourly,"June 05, 2026",Talent.com,False,systems analyst (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49741044?source=searchresults,49741044
BOURGAULT MACHINES INC,enterprise resource planning (ERP) analyst,St. Brieux,SK,"$95,000.00 to $145,000.00 per annum, depending on experience","June 15, 2026",SaskJobs,False,business systems (NOC 21221),https://www.jobbank.gc.ca/jobsearch/jobposting/49722356?source=searchresults,49722356
Government of Saskatchewan,information systems manager,Regina,SK,$52.31 - $68.00,"June 19, 2026",SaskJobs,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49754555?source=searchresults,49754555
SaskEnergy REGINA-Victoria Ave,information systems manager,Regina,SK,"$92,716- $132,958","June 09, 2026",SaskJobs,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49682216?source=searchresults,49682216
Saskatchewan Workers' Compensation Board,computer manager,Regina,SK,"$107,512.37 - $134,390.46 annually","June 01, 2026",SaskJobs,False,information systems (NOC 21222),https://www.jobbank.gc.ca/jobsearch/jobposting/49627144?source=searchresults,49627144
Sapsol Technologies Inc,informatics security consultant,Regina,SK,$60.00 to $75.00 annually,"May 23, 2026",Talent.com,False,cybersecurity (NOC 21220),https://www.jobbank.gc.ca/jobsearch/jobposting/49741139?source=searchresults,49741139
